"STATION","NAME","DATE","SNOW"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-01","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-02","5.7"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-03","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-04","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-05","0.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-06",
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-07","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-08","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-09","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-10","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-11","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-12",
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-13","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-14","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-15","0.8"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-16","2.7"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-17","1.8"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-18","0.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-19","1.8"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-20","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-21","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-22","1.4"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-23","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-24","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-25","0.3"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-26","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-27","1.2"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-28","1.2"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-29","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-30","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-01-31","0.2"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-01","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-02","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-03","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-04","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-05","7.2"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-06","2.3"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-07","1.2"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-08","0.4"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-09","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-10","0.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-11","0.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-12","1.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-13","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-14","2.3"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-15","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-16","1.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-17","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-18","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-19","0.9"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-20","0.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-21","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-22","2.4"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-23","0.1"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-24","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-25","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-26","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-27","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-02-28","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-01",
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-02","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-03","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-04","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-05","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-06","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-07","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-08","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-09","0.0"
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2021-03-10","0.0"
