"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00472055","DENMARK WWTP, WI US","2021-01-01","23","7","16"
"USC00472055","DENMARK WWTP, WI US","2021-01-02","29","13","20"
"USC00472055","DENMARK WWTP, WI US","2021-01-03","25","19","21"
"USC00472055","DENMARK WWTP, WI US","2021-01-04","23","18","20"
"USC00472055","DENMARK WWTP, WI US","2021-01-05","30","20","29"
"USC00472055","DENMARK WWTP, WI US","2021-01-06","33","22","22"
"USC00472055","DENMARK WWTP, WI US","2021-01-07","29","22","24"
"USC00472055","DENMARK WWTP, WI US","2021-01-08","32","24","27"
"USC00472055","DENMARK WWTP, WI US","2021-01-09","29","24","26"
"USC00472055","DENMARK WWTP, WI US","2021-01-10","30","18","20"
"USC00472055","DENMARK WWTP, WI US","2021-01-11","23","19","19"
"USC00472055","DENMARK WWTP, WI US","2021-01-12","30","19","29"
"USC00472055","DENMARK WWTP, WI US","2021-01-13","33","25","30"
"USC00472055","DENMARK WWTP, WI US","2021-01-14","38","20","30"
"USC00472055","DENMARK WWTP, WI US","2021-01-15","38","28","32"
"USC00472055","DENMARK WWTP, WI US","2021-01-16","36","32","32"
"USC00472055","DENMARK WWTP, WI US","2021-01-17","34","26","26"
"USC00472055","DENMARK WWTP, WI US","2021-01-18","30","24","24"
"USC00472055","DENMARK WWTP, WI US","2021-01-19","28","15","17"
"USC00472055","DENMARK WWTP, WI US","2021-01-20","21","6","9"
"USC00472055","DENMARK WWTP, WI US","2021-01-21","32","9","29"
"USC00472055","DENMARK WWTP, WI US","2021-01-22","36","11","11"
"USC00472055","DENMARK WWTP, WI US","2021-01-23","15","6","7"
"USC00472055","DENMARK WWTP, WI US","2021-01-24","27","7","27"
"USC00472055","DENMARK WWTP, WI US","2021-01-25","30","7","9"
"USC00472055","DENMARK WWTP, WI US","2021-01-26","22","9","19"
"USC00472055","DENMARK WWTP, WI US","2021-01-27","24","8","11"
"USC00472055","DENMARK WWTP, WI US","2021-01-28","17","0","2"
"USC00472055","DENMARK WWTP, WI US","2021-01-29","15","2","8"
"USC00472055","DENMARK WWTP, WI US","2021-01-30","29","8","29"
"USC00472055","DENMARK WWTP, WI US","2021-01-31","32","26","27"
"USC00472055","DENMARK WWTP, WI US","2021-02-01","31","17","19"
"USC00472055","DENMARK WWTP, WI US","2021-02-02","31","17","26"
"USC00472055","DENMARK WWTP, WI US","2021-02-03","33","8","9"
"USC00472055","DENMARK WWTP, WI US","2021-02-04","33","9","33"
"USC00472055","DENMARK WWTP, WI US","2021-02-05","37","8","8"
"USC00472055","DENMARK WWTP, WI US","2021-02-06","11","-1","-1"
"USC00472055","DENMARK WWTP, WI US","2021-02-07","8","-14","-13"
"USC00472055","DENMARK WWTP, WI US","2021-02-08","-1","-13","-4"
"USC00472055","DENMARK WWTP, WI US","2021-02-09","3","-10","-7"
"USC00472055","DENMARK WWTP, WI US","2021-02-10","8","-7","-2"
"USC00472055","DENMARK WWTP, WI US","2021-02-11","8","-9","-5"
"USC00472055","DENMARK WWTP, WI US","2021-02-12","8","-5","6"
"USC00472055","DENMARK WWTP, WI US","2021-02-13","11","-1","0"
"USC00472055","DENMARK WWTP, WI US","2021-02-14","7","-13","-13"
"USC00472055","DENMARK WWTP, WI US","2021-02-15","2","-13","-9"
"USC00472055","DENMARK WWTP, WI US","2021-02-16","6","-9","4"
"USC00472055","DENMARK WWTP, WI US","2021-02-17","17","-7","-1"
"USC00472055","DENMARK WWTP, WI US","2021-02-18","24","-1","17"
"USC00472055","DENMARK WWTP, WI US","2021-02-19","26","11","16"
"USC00472055","DENMARK WWTP, WI US","2021-02-20","22","5","9"
"USC00472055","DENMARK WWTP, WI US","2021-02-21","22","4","19"
"USC00472055","DENMARK WWTP, WI US","2021-02-22","33","19","28"
"USC00472055","DENMARK WWTP, WI US","2021-02-23","36","28","36"
"USC00472055","DENMARK WWTP, WI US","2021-02-24","46","31","33"
"USC00472055","DENMARK WWTP, WI US","2021-02-25","39","20","27"
"USC00472055","DENMARK WWTP, WI US","2021-02-26","38","21","29"
"USC00472055","DENMARK WWTP, WI US","2021-02-27","42","21","29"
"USC00472055","DENMARK WWTP, WI US","2021-02-28","50","29","35"
"USC00472055","DENMARK WWTP, WI US","2021-03-01","41","19","19"
"USC00472055","DENMARK WWTP, WI US","2021-03-02","26","13","25"
"USC00472055","DENMARK WWTP, WI US","2021-03-03","38","25","37"
"USC00472055","DENMARK WWTP, WI US","2021-03-04","43","20","24"
"USC00472055","DENMARK WWTP, WI US","2021-03-05","33","21","30"
"USC00472055","DENMARK WWTP, WI US","2021-03-06","42","20","27"
"USC00472055","DENMARK WWTP, WI US","2021-03-07","42","16","26"
"USC00472055","DENMARK WWTP, WI US","2021-03-08","48","26","44"
"USC00472055","DENMARK WWTP, WI US","2021-03-09","57","29","41"
